CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,STANDARD_VALUE,STANDARD_UNITS,LogS,PUBLISHED_TYPE
CHEMBL1085086,OC(=O)CCCS(=O)(=O)C[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3,Solubility,15100,nM,4.821023053,Solubility
CHEMBL1527751,Oc1ncnc2scc(c3ccsc3)c12,Solubility,177800,nM,3.750068243,Solubility
CHEMBL395707,CSCCN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,Solubility,300,nM,6.522878745,Solubility
CHEMBL496995,Clc1ccc(\C=C\2/SC(=O)NC2=O)cc1,Solubility,109600,nM,3.960189446,Solubility
CHEMBL73303,NS(=O)(=O)c1ccc(Nc2nccc(n2)c3cnc4ccccn34)cc1,Solubility,6500,nM,5.187086643,Solubility
CHEMBL325226,CC(C)n1c2ccccc2c3c(C)c(NC(=O)N4CCOCC4)ccc13,Solubility,8300,nM,5.080921908,Solubility
CHEMBL1809061,COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4ccccn34)N5CCNCC5,Solubility,14800,nM,4.829738285,Solubility
CHEMBL215203,OC[C@H]1CCCN1CCCOc2ccc3c(Nc4cc(CC(=O)Nc5cccc(F)c5)[nH]n4)ncnc3c2,Solubility,102300,nM,3.990124366,Solubility
CHEMBL455429,CC(C)n1c(C)ncc1c2nc(Nc3ccc(C(=O)N)c(F)c3)ncc2F,Solubility,6000,nM,5.22184875,Solubility
CHEMBL1835903,CCOC(=O)c1ccc(OCCC2CN(C2)c3ccc(C)nn3)cc1,Solubility,346700,nM,3.460046158,Solubility
CHEMBL2010838,CN(C1CCN(Cc2ccc(cn2)C(F)(F)F)CC1)C(=O)Cc3ccc(cc3)n4cnnn4,Solubility,263000,nM,3.580044252,Solubility
CHEMBL2036581,COc1ccc(NC(=O)c2oc(Nc3ccccc3F)nn2)cn1,Solubility,3300,nM,5.48148606,Solubility
CHEMBL1809055,COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4ccccn34)C(=O)N5CCOCC5,Solubility,1600,nM,5.795880017,Solubility
CHEMBL208048,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C(C)C)[C@@H](C)C(=O)N,Solubility,1000,nM,6,Solubility
CHEMBL1645496,OC(c1ccccc1)c2ccc3C(=O)C=C(Nc3c2)c4cccnc4,Solubility,288400,nM,3.540004744,Solubility
CHEMBL1536248,CC(C)(C)C(O)C(Cc1ccccc1Cl)n2cncn2,Solubility,398100,nM,3.400007822,Solubility
CHEMBL1785015,CC(C)n1nc(c2ccc(C)cc2)c3c(N)ncnc13,Solubility,97700,nM,4.010105436,Solubility
